Nombre,Documento ,Edad,Semanas_Cotizadas
Sophia,8084193272,75,290
Fernando,2321262886,98,111
Alejandro,6031411562,85,205
Sebastian,8778559896,98,399
Emma,1056818340,62,172
Juan,1995000322,100,279
Fernando,9609216526,26,291
Gabriela,4349090532,68,588
Fernando,8104821170,30,307
Alejandro,7478689721,49,389
Juliana,5015243970,69,547
Isabella,4170547269,29,509
Andres,7407375097,12,718
Camila,4331816747,55,614
Maria,5087159530,64,600
Laura,6784515740,30,570
Andres,1789815117,13,756
Camila,5014012581,64,296
Luna,5830219629,97,609
Samuel,0383927797,78,714
Isabella,7664753208,45,490
Rafael,1622700204,31,767
Valeria,0914381521,6,182
Valeria,7710910987,77,800
Sophia,0980486031,53,581
Emma,9933409875,3,374
Juliana,7493351865,79,770
Laura,7884186882,98,397
Emma,0335469694,72,266
Rafael,1873644124,46,668
Daniel,8073479569,77,667
Nicolas,3259430579,85,680
Alejandro,0312445514,37,116
Rafael,0447700238,3,483
Diego,7710131326,62,762
Santiago,3324008486,19,308
Sophia,4334027970,48,163
Camila,0926286338,64,213
Mateo,6896922298,84,438
Sebastian,7845925087,96,214
Juan,9723727236,20,131
Camila,2001348389,58,691
Mia,4194035916,43,160
Luna,0532486484,92,500
Lucas,1682830538,84,298
Nicolas,7732644019,9,329
Mia,0815332386,37,445
Maria,5991566217,90,402
Mateo,0071102153,79,373
Mia,7216602582,42,296
Pedro,6204436283,72,743
Juan,7388414834,21,536
Catalina,7617417520,33,752
Fernando,9970373172,28,174
Mia,5021786237,41,594
Samuel,9359413279,63,446
Maria,6158110504,53,504
Rafael,1485975134,98,184
Juan,2342497750,64,335
Juan,9674192648,76,547
Isabel,4869069688,97,645
Carlos,9631058286,60,788
Laura,4909754275,59,684
Diego,8034831559,72,236
Alejandro,9075329368,63,783
Laura,2456362716,18,339
Mateo,9376979741,17,547
Mateo,4939972209,41,176
Andres,7202298764,73,336
Juliana,9442792266,59,295
Samuel,0646533921,58,439
Isabel,6900042948,57,128
Nicolas,0878786604,95,238
Andres,8790395078,65,677
Andres,5998677309,40,599
Santiago,0348777287,29,787
Isabel,5190379622,30,581
Lucas,2723308280,90,684
Camila,7568079346,6,565
Natalia,1977940632,32,625
Juliana,2067356811,56,489
Alejandro,9469087848,28,155
Juliana,9784557113,65,602
Valentina,3664651287,46,638
Daniel,8499886425,34,501
Valentina,3726827370,45,316
Natalia,9440843855,7,621
Santiago,1990275379,63,248
Carlos,3270566845,38,355
Emma,5698751169,74,441
Sebastian,2400549564,18,445
Diego,5053400768,94,422
Alejandro,6335972783,16,249
Daniel,5278220153,87,538
